,0
ENSG00000000419,29.657377049180326
ENSG00000000457,12.031147540983607
ENSG00000000460,4.80327868852459
ENSG00000000938,11.036065573770491
ENSG00000001036,18.975409836065577
ENSG00000001084,12.701639344262293
ENSG00000001167,14.6
ENSG00000001460,6.272131147540983
ENSG00000001461,12.408196721311473
ENSG00000001497,20.550819672131148
ENSG00000001561,12.685245901639343
ENSG00000001629,14.088524590163935
ENSG00000001630,17.395081967213116
ENSG00000001631,17.22459016393443
ENSG00000002016,10.745901639344261
ENSG00000002330,23.38196721311475
ENSG00000002549,26.295081967213118
ENSG00000002586,70.52459016393442
ENSG00000002822,13.760655737704917
ENSG00000002834,27.67213114754098
ENSG00000002919,15.000000000000002
ENSG00000002933,14.298360655737708
ENSG00000003056,34.057377049180324
ENSG00000003147,9.501639344262296
ENSG00000003393,8.6
ENSG00000003400,8.132786885245903
ENSG00000003402,24.662295081967216
ENSG00000003509,10.027868852459017
ENSG00000003756,35.67377049180329
ENSG00000004059,36.79016393442622
ENSG00000004139,6.227868852459016
ENSG00000004142,17.275409836065574
ENSG00000004399,15.68688524590164
ENSG00000004455,27.481967213114753
ENSG00000004468,8.095081967213115
ENSG00000004478,27.365573770491807
ENSG00000004487,19.962295081967213
ENSG00000004534,30.298360655737707
ENSG00000004660,6.426229508196722
ENSG00000004700,15.959016393442623
ENSG00000004766,15.19016393442623
ENSG00000004779,25.85409836065574
ENSG00000004799,36.22131147540984
ENSG00000004864,8.713114754098358
ENSG00000004866,14.401639344262295
ENSG00000004897,19.89180327868852
ENSG00000004961,12.732786885245899
ENSG00000004975,15.145901639344261
ENSG00000005007,20.859016393442626
ENSG00000005020,14.337704918032786
ENSG00000005022,43.48360655737706
ENSG00000005059,9.404918032786885
ENSG00000005075,27.975409836065573
ENSG00000005100,9.824590163934426
ENSG00000005156,12.647540983606559
ENSG00000005175,16.1
ENSG00000005187,6.885245901639346
ENSG00000005194,18.154098360655734
ENSG00000005206,7.606666666666666
ENSG00000005238,11.521311475409835
ENSG00000005243,9.929508196721308
ENSG00000005249,9.086885245901637
ENSG00000005302,15.178688524590164
ENSG00000005339,16.97704918032787
ENSG00000005436,12.34098360655738
ENSG00000005448,9.032786885245903
ENSG00000005469,9.670491803278686
ENSG00000005483,22.337704918032784
ENSG00000005486,23.83606557377049
ENSG00000005700,12.908196721311477
ENSG00000005801,14.626229508196722
ENSG00000005810,17.03606557377049
ENSG00000005812,23.095081967213112
ENSG00000005844,7.547540983606556
ENSG00000005882,18.570491803278692
ENSG00000005889,13.139344262295081
ENSG00000005893,34.91803278688525
ENSG00000006007,20.134426229508197
ENSG00000006015,19.265573770491805
ENSG00000006025,8.573770491803279
ENSG00000006062,5.441666666666666
ENSG00000006125,25.7983606557377
ENSG00000006194,18.79672131147541
ENSG00000006210,10.978688524590167
ENSG00000006282,14.136065573770491
ENSG00000006283,3.014754098360656
ENSG00000006327,13.383606557377052
ENSG00000006451,19.04426229508197
ENSG00000006459,8.3672131147541
ENSG00000006530,11.642622950819673
ENSG00000006534,7.455737704918034
ENSG00000006576,8.818032786885245
ENSG00000006606,2.537704918032787
ENSG00000006607,13.704918032786887
ENSG00000006625,17.131147540983605
ENSG00000006652,18.044262295081968
ENSG00000006695,7.757377049180327
ENSG00000006712,30.513114754098364
ENSG00000006715,18.734426229508195
ENSG00000006744,21.578688524590163
ENSG00000006747,7.168852459016394
ENSG00000006756,10.481967213114753
ENSG00000006757,12.527868852459017
ENSG00000006831,17.790163934426225
ENSG00000006837,4.318032786885246
ENSG00000007047,13.308196721311475
ENSG00000007080,23.885245901639344
ENSG00000007129,4.745901639344262
ENSG00000007168,24.00655737704918
ENSG00000007202,23.363934426229505
ENSG00000007237,13.511475409836068
ENSG00000007255,16.270491803278688
ENSG00000007312,8.20655737704918
ENSG00000007341,7.703278688524589
ENSG00000007376,12.767213114754098
ENSG00000007384,9.48360655737705
ENSG00000007392,24.077049180327865
ENSG00000007520,17.895081967213113
ENSG00000007541,12.021311475409835
ENSG00000007923,16.74098360655738
ENSG00000007944,15.836065573770494
ENSG00000007968,2.9737704918032786
ENSG00000008018,55.496721311475405
ENSG00000008083,10.12950819672131
ENSG00000008086,4.87704918032787
ENSG00000008128,16.426229508196723
ENSG00000008130,17.485245901639345
ENSG00000008282,31.557377049180328
ENSG00000008283,12.690163934426227
ENSG00000008294,19.724590163934423
ENSG00000008324,19.498360655737702
ENSG00000008382,11.529508196721311
ENSG00000008394,26.537704918032787
ENSG00000008405,12.27704918032787
ENSG00000008441,20.042622950819666
ENSG00000008513,12.255737704918031
ENSG00000008838,21.2655737704918
ENSG00000008853,9.375409836065574
ENSG00000008869,14.22950819672131
ENSG00000008952,30.311475409836067
ENSG00000008988,119.98360655737706
ENSG00000009307,47.67213114754099
ENSG00000009335,19.73934426229508
ENSG00000009413,9.955737704918032
ENSG00000009780,14.627868852459015
ENSG00000009790,11.206557377049181
ENSG00000009830,8.12950819672131
ENSG00000009844,22.98032786885246
ENSG00000009954,21.34098360655738
ENSG00000010017,14.514754098360656
ENSG00000010030,4.539344262295082
ENSG00000010072,9.139344262295081
ENSG00000010165,14.368852459016393
ENSG00000010219,3.808196721311475
ENSG00000010244,39.64262295081967
ENSG00000010256,20.31639344262295
ENSG00000010270,19.688524590163933
ENSG00000010278,43.545901639344265
ENSG00000010292,11.319672131147541
ENSG00000010295,9.644262295081969
ENSG00000010310,4.388524590163933
ENSG00000010322,20.719672131147544
ENSG00000010327,15.411475409836067
ENSG00000010361,7.750819672131147
ENSG00000010404,21.02786885245902
